Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
December,CollegeDekho,2015,Gurgaon,E-learning,Ruchir Arora,"Disrupt ADQ, QIC",35000000,Series B
December,BOX8,2012,Mumbai,Food & Beverages,"Anshul Gupta, Amit Raj",Tiger Global,40000000,
December,Simpl,2015,Bangalore,Consumer Services,"Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",40000000,Series B
December,8i Ventures,2018,Mumbai,Venture Capital & Private Equity,Vikram Chachra,,50000000,
December,PayGlocal,2021,Bangalore,Financial Services,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",Sequoia Capital India,4900000,Series A
December,Curefit,2016,Bangalore,"Health, Wellness & Fitness","Mukesh Bansal, Ankit",Zomato,145000000,
December,Pocket FM,2018,Bangalore,OTT,"Rohan, Nishanth Srinivas, Prateek Dixit","Lightspeed, Times Group, Tanglin Venture Partners",22000000,Series B
December,CHARGE+ZONE,2018,Vadodara,Automotive,Kartikey Hariyani,Venture Catalysts,10000000,
December,PlanetSpark,2017,Gurugram,Education Management,"Maneesh Dhooper, Kunal Malik","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",13000000,Series B
December,LenDenClub,2015,Mumbai,Financial Services,"Bhavin Patel, Dipesh Karki","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",10000000,Series A
December,CometChat,2009,Mumbai,Computer Software,"Anuj, Anant Garg",Signal Peak Ventures,10000000,Series A
December,AgroStar,2013,Pune,AgriTech,"Shardul, Sitanshu Sheth","Evolvence, Hero Enterprise",70000000,Series D
December,Bizongo,2015,Mumbai,Information Technology & Services,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,100000000,Series D
December,Probus Insurance,2002,Mumbai,Insurance,Rakesh goyal,BlueOrchard Impact Investment Managers,6700000,
December,MoEngage,2014,Bangalore,Software Startup,"Raviteja Dodda, Yashwanth Kumar",Steadview Capital,30000000,Series D
December,CloudSEK,2015,Bangalore,Computer & Network Security,Rahul Sasi,MassMutual Ventures,7000000,Series A
December,Exponent Energy,2020,Bangalore,Automotive,"Arun Vinayak, Sanjay Byalal",YourNest VC,5000000,Pre-series A
December,Trinkerr,2021,Bangalore,Capital Markets,"Manvendra Singh, Gaurav Agarwal",Accel India,6600000,Series A
December,Zorro,2021,Gurugram,Social network,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",32000000,Seed
December,Ultraviolette,2021,Bangalore,Automotive,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",150000000,Series C
December,NephroPlus,2009,Hyderabad,Hospital & Health Care,Vikram Vuppala,IIFL Asset Management,24000000,Series E
December,Unremot,2020,Bangalore,Information Technology & Services,Shiju Radhakrishnan,Inflection Point Ventures,700000,Seed
December,FanAnywhere,2021,Bangalore,Financial Services,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",Undisclosed,Seed
December,PingoLearn,2021,Pune,E-learning,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, AngelList Syndicate",200000,
December,Spry,2021,Mumbai,Music,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",1500000,Seed
December,Enmovil,2015,Hyderabad,Information Technology & Services,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,1300000,Pre-series A
December,ASQI Advisors,2019,Mumbai,Financial Services,Swapnil Pawar,Founders Room Capital,1000000,Pre-series A
December,Insurance Samadhan,2018,New Delhi,Insurance,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",725000,Pre-series A
December,Evenflow Brands,2020,Mumbai,Consumer Goods,"Utsav Agarwal, Pulkit Chhabra",,500000,
December,MasterChow,2020,Food & Beverages,Hauz Khas,"Vidur Kataria, Sidhanth Madan",WEH Ventures,461000,Seed
December,Fullife Healthcare,2009,Pharmaceuticals #REF!,Primary Business is Development and Manufacturing of Novel Healthcare Products in Effervescent forms using imported propriety ingredients.,Morgan Stanley Private Equity Asia,22000000,Series C,
December,Trinkerr,2021,Bangalore,Capital Markets,"Manvendra Singh, Gaurav Agarwal",Accel India,6600000,Series A
December,Zorro,2021,Gurugram,Social network,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",32000000,Seed
December,Ultraviolette,2021,Bangalore,Automotive,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",150000000,Series C
December,NephroPlus,2009,Hyderabad,Hospital & Health Care,Vikram Vuppala,IIFL Asset Management,24000000,Series E
December,Unremot,2020,Bangalore,Information Technology & Services,Shiju Radhakrishnan,Inflection Point Ventures,700000,Seed
December,FanAnywhere,2021,Bangalore,Financial Services,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",Undisclosed,Seed
December,PingoLearn,2021,Pune,E-learning,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, AngelList Syndicate",200000,
December,Spry,2021,Mumbai,Music,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",1500000,Seed
December,Enmovil,2015,Hyderabad,Information Technology & Services,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,1300000,Pre-series A
December,ASQI Advisors,2019,Mumbai,Financial Services,Swapnil Pawar,Founders Room Capital,1000000,Pre-series A
December,Insurance Samadhan,2018,New Delhi,Insurance,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",725000,Pre-series A
